generation	phenotype
10000	0.370856
10000	6.20452
10000	6.0941
10000	-1.41034
10000	-20.5454
10000	-8.69509
10000	7.69734
10000	-8.76049
10000	-25.9092
10000	-1.94536
10000	9.2348
10000	13.6254
10000	1.16943
10000	0.854914
10000	11.1949
10000	0.808876
10000	8.82359
10000	-2.9949
10000	3.25804
10000	3.55613
10000	-15.8327
10000	-10.065
10000	0.00919618
10000	-4.66948
10000	1.07251
10000	5.28375
10000	5.24968
10000	-1.46404
10000	-17.5301
10000	-12.6836
10000	1.04163
10000	4.87956
10000	15.9089
10000	-13.3151
10000	-9.11221
10000	6.3146
10000	-12.0917
10000	-2.9313
10000	3.11031
10000	-7.51615
10000	4.76797
10000	-7.85052
10000	-9.38587
10000	18.6344
10000	-0.607252
10000	-7.31923
10000	2.62619
10000	-11.4173
10000	11.6339
10000	24.1085
10000	-11.581
10000	-18.9486
10000	-6.95987
10000	4.66068
10000	22.3496
10000	-1.30449
10000	-12.1617
10000	0.0568689
10000	-2.20238
10000	0.896115
10000	-5.087
10000	4.08105
10000	0.250905
10000	-2.10992
10000	0.386303
10000	-2.34596
10000	-17.7597
10000	-8.41419
10000	7.25501
10000	0.214036
10000	1.90123
10000	9.99261
10000	15.2378
10000	-8.3733
10000	14.5047
10000	-3.41624
10000	1.00133
10000	-14.4158
10000	-10.5084
10000	14.8202
10000	-5.38889
10000	-2.05318
10000	4.5083
10000	1.84181
10000	-2.99288
10000	6.22076
10000	-7.1169
10000	0.323803
10000	6.00968
10000	0.00144232
10000	-0.0920271
10000	-7.93756
10000	9.42996
10000	12.9225
10000	-9.31827
10000	5.59469
10000	16.3167
10000	-2.53075
10000	-8.26874
10000	1.38686
10000	2.07801
10000	10.7688
10000	-6.43093
10000	8.76238
10000	-7.38001
10000	22.6395
10000	2.75152
10000	3.11801
10000	-8.37753
10000	-4.68261
10000	10.4434
10000	-12.7358
10000	-3.23526
10000	0.296466
10000	-4.84539
10000	5.00969
10000	-6.01316
10000	6.85222
10000	-1.34467
10000	-17.864
10000	-13.0174
10000	9.49092
10000	-13.7283
10000	-12.4452
10000	-7.55325
10000	-21.118
10000	-0.420373
10000	-0.731969
10000	-5.86924
10000	2.61003
10000	-2.03987
10000	0.208988
10000	18.1151
10000	-2.73733
10000	-12.7552
10000	12.2653
10000	1.58606
10000	-10.3405
10000	-10.3894
10000	-7.36105
10000	1.83399
10000	-16.2248
10000	-0.599089
10000	-7.78631
10000	-0.294771
10000	-4.24358
10000	7.07492
10000	9.84321
10000	-4.15433
10000	-0.133753
10000	-9.21714
10000	9.90003
10000	-12.9141
10000	0.593504
10000	5.56229
10000	5.64684
10000	2.87558
10000	-24.4695
10000	-12.8344
10000	-8.19522
10000	19.7273
10000	-6.17693
10000	7.6797
10000	-5.71174
10000	8.35549
10000	0.68245
